Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Market Cap
544120,Capital Small Finance Bank Ltd,CAPITALSFB,Capital Small Finance Bank Ltd,Active,B,10,INE646H01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,13295405150
532457,Gulshan Polyols Ltd.,GULPOLY,GULSHAN POLYOLS LTD.,Active,B,1,INE255D01024,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,13350240000
533156,Vascon Engineers Limited,VASCONEQ,Vascon Engineers Ltd,Active,A,10,INE893I01013,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,13067545308
532906,MAAN ALUMINIUM LIMITED,MAANALU,MAAN ALUMINIUM LTD.,Active,B,5,INE215I01027,Aluminium,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,13208621216
530075,Selan Exploration Technology Ltd.,SELAN,SELAN EXPLORATION TECHNOLOGY LTD.-$,Active,B,10,INE818A01017,Oil Exploration & Production,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production,13039320000
530699,Raj Rayon Industries Limited,RAJRILTD,Raj Rayon Industries Limited-$,Active,T,1,INE533D01032,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,13012327947
531633,Lincoln Pharmaceuticals ltd.,LINCOLN,LINCOLN PHARMACEUTICALS LTD.,Active,B,10,INE405C01035,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,13346993525
524520,KMC Speciality Hospitals India Limited,KMCSHIL,KMC SPECIALITY HOSPITALS (INDIA) LTD.,Active,B,1,INE879K01018,Hospital,Equity,Healthcare,Healthcare,Healthcare Services,Hospital,13201730000
532323,Shiva Cement Ltd.,SHIVACEM,SHIVA CEMENT LTD.,Active,B,2,INE555C01029,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,13224850540
544224,Afcom Holdings Limited,AFCOM,Afcom Holdings Ltd,Active,M,10,INE0OXY01013,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,13298870000
524774,NGL Fine Chem Ltd.,NGLFINE,NGL FINE-CHEM LTD.,Active,B,5,INE887E01022,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,12702019400
500414,Timex Group India Ltd,TIMEX,TIMEX GROUP INDIA LTD.-$,Active,B,1,INE064A01026,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",13062929383
519105,AVT Natural Products Ltd.,AVTNPL,AVT NATURAL PRODUCTS LTD.,Active,B,1,INE488D01021,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,12944131500
533477,Enkei wheels (India) Limited,ENKEIWHEL,ENKEI WHEELS (INDIA) LTD.,Active,B,5,INE130L01014,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,13109090000
539289,Aurum PropTech Limited,AURUM,Aurum PropTech Ltd,Active,T,5,INE898S01029,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,12798189600
890168,Aurum PropTech Limited,AURUMPP,Aurum PropTech Ltd,Active,T,5,IN9898S01027,,Equity,-,-,-,-,12798189600
532610,Dwarikesh Sugar Industries Ltd.,DWARKESH,DWARIKESH SUGAR INDUSTRIES LTD.,Active,B,1,INE366A01041,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,12880300709
500439,Vardhman Holdings Limited,VHL,VARDHMAN HOLDINGS LTD.,Active,B,10,INE701A01023,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,14106430000
532616,Xchanging Solutions Limited,XCHANGING,XCHANGING SOLUTIONS LTD.,Active,B,10,INE692G01013,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,12889407750
501298,Industrial & Prudential Inv. Co. Lt,INDPRUD,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,Active,X,10,INE620D01011,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,12978540000
